DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
222011675,2022-06-26,2022-06-26,1310,Olympic,BATTERY - SIMPLE ASSAULT,44,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,WESTERN
221421350,2022-12-21,2022-12-21,1130,Pacific,BURGLARY,30,M,B,,Invest Cont,13200    FIJI                         WY
221216552,2022-07-27,2022-07-27,0600,77th Street,BATTERY - SIMPLE ASSAULT,55,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,WESTERN                      AV
221611254,2022-08-07,2022-08-06,2300,Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",20,F,H,,Invest Cont,12700    VAN NUYS                     BL
231907689,2023-04-05,2023-04-04,1150,Mission,THEFT PLAIN - PETTY ($950 & UNDER),21,F,H,,Invest Cont,14200    TERRA BELLA                  ST
230107417,2023-02-21,2023-02-21,1400,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",57,M,H,,Invest Cont,BOYD
230707899,2023-04-01,2022-10-03,1400,Wilshire,THEFT OF IDENTITY,37,F,B,,Invest Cont,400 S  BURNSIDE                     AV
231106503,2023-03-07,2023-03-05,2200,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",16,M,H,,Invest Cont,3300    GASSEN                       PL
230109371,2023-03-26,2023-03-26,1345,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,M,B,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,7TH
230108191,2023-03-06,2023-02-25,1030,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,M,A,,Invest Cont,7TH
231007516,2023-04-01,2022-12-06,0230,West Valley,BURGLARY,31,M,W,,Invest Cont,5200    NEWCASTLE                    AV
230305661,2023-02-02,2023-02-02,0001,Southwest,THEFT OF IDENTITY,43,F,B,,Invest Cont,1800 W  38TH                         PL
230707241,2023-03-16,2023-03-13,1400,Wilshire,BURGLARY,39,M,W,,Invest Cont,400 N  GARDNER                      ST
222015125,2022-09-09,2022-05-01,1700,Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,F,H,FOLDING KNIFE,Invest Cont,7TH
230308478,2023-03-28,2022-03-28,1150,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",44,M,H,HAND GUN,Invest Cont,1700 W  36TH                         ST
231809468,2023-04-24,2023-02-24,0800,Southeast,THEFT OF IDENTITY,34,F,B,,Invest Cont,9800    AVALON                       BL
220514312,2022-09-29,2022-09-25,1000,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),36,F,W,,Invest Cont,200    WHALERS WALK
232004047,2023-01-01,2023-01-01,0230,Olympic,BATTERY - SIMPLE ASSAULT,26,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  WESTERN                      AV
221819534,2022-10-20,2022-10-15,0905,Southeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),33,M,H,,Invest Cont,MAIN                         ST
230213096,2023-06-25,2023-06-25,2215,Rampart,ROBBERY,49,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH
220412755,2022-09-02,2022-09-01,1700,Hollenbeck,BURGLARY,24,F,W,,Invest Cont,2800    WORKMAN                      ST
221511140,2022-06-14,2020-01-01,1235,N Hollywood,THEFT OF IDENTITY,87,M,W,,Invest Cont,11300    OTSEGO                       ST
220514354,2022-10-01,2022-09-30,1730,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",63,F,W,,Adult Arrest,700 W  38TH                         ST
231510077,2023-05-22,2023-05-22,1630,N Hollywood,BATTERY - SIMPLE ASSAULT,45,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LANKERSHIM                   BL
220913487,2022-09-06,2022-09-02,1230,Van Nuys,BATTERY - SIMPLE ASSAULT,14,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6100    VAN NUYS                     BL
221515564,2022-10-01,2022-09-30,1415,N Hollywood,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,10900    OXNARD                       ST
222115946,2022-10-27,2022-10-27,1210,Topanga,SHOPLIFTING - PETTY THEFT ($950 & UNDER),22,M,X,,Invest Cont,8200    TOPANGA CANYON               BL
231704254,2023-01-06,2022-12-30,1400,Devonshire,THEFT OF IDENTITY,34,F,H,,Invest Cont,8700    DE SOTO                      AV
231305883,2023-02-06,2023-02-06,0915,Newton,THEFT OF IDENTITY,27,F,H,,Invest Cont,4300    HONDURAS                     ST
220411860,2022-08-09,2022-08-09,2010,Hollenbeck,KIDNAPPING - GRAND ATTEMPT,6,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1ST                          ST
231310537,2023-05-11,2023-05-11,0945,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,VERNON                       AV
230808349,2023-04-14,2023-04-14,2210,West LA,TRESPASSING,37,M,W,,Invest Cont,800    STRADELLA                    RD
231105187,2023-01-30,2023-01-30,0315,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35,F,W,,Invest Cont,4300    CALEDONIA                    WY
231008951,2023-05-09,2023-05-09,1755,West Valley,THEFT OF IDENTITY,29,M,H,,Invest Cont,18500    HATTERAS                     ST
231410174,2023-05-09,2023-05-07,1400,Pacific,SHOPLIFTING - PETTY THEFT ($950 & UNDER),47,M,X,,Invest Cont,8900 S  SEPULVEDA                    BL
230607870,2023-03-31,2023-03-30,1700,Hollywood,BURGLARY FROM VEHICLE,29,M,B,,Invest Cont,1300 N  POINSETTIA                   PL
220412195,2022-08-18,2022-08-18,1530,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1900 N  MAIN                         ST
221716455,2022-09-01,2022-08-31,0300,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),48,M,W,,Invest Cont,8900    ZELZAH                       AV
231506268,2023-02-23,2023-02-22,1400,N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34,F,W,,Invest Cont,5100    TUJUNGA                      AV
232106076,2023-01-31,2023-01-30,1920,Topanga,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),39,F,H,,Invest Cont,6400    CANOGA                       AV
220516216,2022-11-21,2022-11-20,2045,Harbor,ATTEMPTED ROBBERY,65,F,W,VERBAL THREAT,Invest Cont,1700    265TH                        ST
221816235,2022-08-23,2022-08-23,1440,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),59,M,H,,Invest Cont,700 W  98TH                         ST
230104213,2023-01-04,2022-12-25,2200,Central,BURGLARY FROM VEHICLE,60,M,C,,Invest Cont,1100 S  GRAND                        AV
231208086,2023-03-06,2023-03-06,1830,77th Street,BATTERY - SIMPLE ASSAULT,47,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6000    HAAS                         AV
221221327,2022-10-02,2022-10-02,0335,77th Street,THEFT OF IDENTITY,27,F,B,,Invest Cont,2000 W  75TH                         ST
221516141,2022-10-14,2022-10-14,2200,N Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,11400    OXNARD                       ST
220612459,2022-06-27,2022-06-26,2052,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,F,B,,Invest Cont,1600    WILCOX                       AV
231105686,2023-02-14,2023-02-13,1630,Northeast,TRESPASSING,62,F,O,,Invest Cont,1700    REDCLIFF                     ST
222013558,2022-08-13,2022-08-12,1510,Olympic,INTIMATE PARTNER - SIMPLE ASSAULT,24,M,O,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,900    FEDORA                       ST
231104245,2023-01-07,2023-01-07,1500,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,M,H,,Adult Arrest,1400    WATERLOO                     ST
220516548,2022-12-02,2022-11-29,1055,Harbor,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),39,F,F,,Invest Cont,500 W  10TH                         ST
231107178,2023-03-26,2023-03-16,1235,Northeast,THEFT OF IDENTITY,30,F,W,,Invest Cont,4500    COLLEGE VIEW                 AV
231005830,2023-02-15,2023-02-01,1318,West Valley,SHOPLIFTING - PETTY THEFT ($950 & UNDER),31,M,H,,Invest Cont,17400    VENTURA                      BL
221216283,2022-07-19,2022-07-19,1850,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,H,,Invest Cont,73RD                         ST
230204606,2023-01-16,2023-01-13,1101,Rampart,BATTERY - SIMPLE ASSAULT,44,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH                          ST
221418345,2022-10-29,2022-10-15,0800,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,M,B,,Invest Cont,3500 S  BENTLEY                      AV
230604063,2023-01-02,2023-01-01,2100,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,H,,Invest Cont,HAWTHORN
221213614,2022-06-11,2022-03-18,2100,77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,21,M,H,OTHER KNIFE,Adult Other,900 W  81ST                         ST
230509678,2023-06-07,2023-06-07,1500,Harbor,THEFT OF IDENTITY,33,M,H,,Invest Cont,500 S  PALOS VERDES                 ST
230911178,2023-06-28,2023-06-27,1730,Van Nuys,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),42,F,V,,Invest Cont,4000    KNOBHILL                     DR
232006318,2023-02-26,2023-02-26,0130,Olympic,VEHICLE - ATTEMPT STOLEN,45,M,H,,Invest Cont,PICO
232008827,2023-04-27,2023-01-12,0800,Olympic,"BUNCO, GRAND THEFT",66,M,A,,Invest Cont,3900 W  7TH                          ST
220811571,2022-07-05,2022-07-05,0859,West LA,BATTERY - SIMPLE ASSAULT,51,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1000    SWARTHMORE                   AV
231812375,2023-06-23,2023-06-14,1630,Southeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,40,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 E  120TH                        ST
220221415,2022-12-11,2022-12-11,1237,Rampart,BURGLARY,82,F,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,400 N  BOYLSTON                     ST
231709426,2023-05-08,2023-05-07,2200,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",56,F,W,,Invest Cont,18400    VINCENNES                    ST
220811604,2022-07-04,2022-07-01,2130,West LA,BURGLARY,67,F,W,,Invest Cont,800 S  SHERBOURNE                   DR
221111550,2022-07-15,2022-07-13,0200,Northeast,OTHER ASSAULT,34,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,100    ROSELAWN                     PL
231906961,2023-03-15,2023-03-14,1700,Mission,BRANDISH WEAPON,52,M,H,HAND GUN,Invest Cont,12900    DRONFIELD                    AV
220222097,2022-12-22,2022-12-22,2320,Rampart,"BURGLARY, ATTEMPTED",22,F,H,,Invest Cont,900 S  BURLINGTON                   AV
221112652,2022-08-13,2022-08-12,0200,Northeast,BURGLARY FROM VEHICLE,39,M,W,,Invest Cont,300 W  AVENUE 43
230509713,2023-06-08,2023-06-07,1345,Harbor,BATTERY - SIMPLE ASSAULT,14,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,ALMA                         ST
221318381,2022-09-27,2022-09-27,1735,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,M,H,CLUB/BAT,Adult Other,100 W  52ND                         ST
221614004,2022-11-05,2022-10-04,1535,Foothill,THEFT OF IDENTITY,77,M,W,,Invest Cont,9600    STONEHURST                   AV
221316619,2022-08-25,2022-08-25,1450,Newton,ATTEMPTED ROBBERY,26,M,H,AIR PISTOL/REVOLVER/RIFLE/BB GUN,Invest Cont,GRAND                        AV
231212256,2023-05-18,2023-05-18,1003,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,H,VEHICLE,Invest Cont,75TH
221515324,2022-09-25,2022-09-25,0130,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,H,VEHICLE,Invest Cont,MAGNOLIA
230910924,2023-06-22,2023-06-19,0100,Van Nuys,VIOLATION OF COURT ORDER,32,F,H,,Invest Cont,14400    VALERIO                      ST
221318843,2022-10-05,2022-10-05,1142,Newton,BATTERY - SIMPLE ASSAULT,56,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,VERNON                       AV
230709941,2023-05-22,2023-05-22,2035,Wilshire,VIOLATION OF RESTRAINING ORDER,54,F,H,,Invest Cont,2200    HAUSER                       BL
232108423,2023-04-27,2023-04-27,1130,Topanga,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",47,M,H,,Invest Cont,20900    HART                         ST
221414073,2022-07-20,2022-07-12,1307,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),25,M,B,,Invest Cont,8800    BELFORD                      AV
231605193,2023-02-05,2023-02-03,2200,Foothill,BURGLARY,40,M,O,,Invest Cont,11300    ALETHEA                      DR
230907420,2023-03-28,2023-03-26,1455,Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),25,M,W,,Invest Cont,14300    MAMALIGA                     DR
230407180,2023-04-07,2023-04-07,0905,Hollenbeck,THEFT OF IDENTITY,46,M,O,,Invest Cont,400 N  SOTO                         ST
230307410,2023-03-07,2023-03-07,0730,Southwest,BATTERY - SIMPLE ASSAULT,35,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1300 W  42ND                         ST
220414488,2022-10-20,2022-10-20,0705,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,M,H,HAND GUN,Invest Cont,4700    VALLEY                       BL
221514111,2022-08-27,2022-08-27,1015,N Hollywood,BATTERY - SIMPLE ASSAULT,34,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,3400    CAHUENGA                     BL
221319229,2022-10-11,2022-10-11,1615,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,100 E  56TH                         ST
220913412,2022-09-03,2022-09-03,0920,Van Nuys,BATTERY - SIMPLE ASSAULT,40,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,14200    VICTORY                      BL
220517043,2022-12-15,2022-12-13,2330,Harbor,THEFT OF IDENTITY,43,M,H,,Invest Cont,2200    AMELIA                       AV
231105082,2023-01-29,2023-01-27,2200,Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),53,F,H,,Invest Cont,3200    DREW                         ST
231909737,2023-05-25,2023-05-12,1212,Mission,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),60,M,H,,Invest Cont,12700    FOOTHILL                     BL
221225073,2022-12-04,2022-12-01,0828,77th Street,THEFT OF IDENTITY,35,F,H,,Invest Cont,300 W  81ST                         ST
221413576,2022-07-09,2022-06-17,1700,Pacific,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",28,M,W,,Invest Cont,3400    SAWTELLE                     BL
231508694,2023-04-21,2022-01-09,1230,N Hollywood,THEFT OF IDENTITY,41,F,H,,Invest Cont,11200    EMELITA                      ST
220517405,2022-12-23,2022-12-23,0500,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1400    257TH                        ST
231411390,2023-05-27,2023-05-27,1405,Pacific,BURGLARY FROM VEHICLE,32,M,W,,Invest Cont,6200 W  MANCHESTER                   AV
231709175,2023-05-03,2023-05-03,1600,Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,21000    PARTHENIA                    ST
220717103,2022-11-28,2022-11-28,2000,Wilshire,INTIMATE PARTNER - SIMPLE ASSAULT,19,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4800 W  18TH                         ST
221714117,2022-09-28,2022-09-21,1300,Devonshire,BATTERY - SIMPLE ASSAULT,35,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,21700    MARILLA                      ST
220714825,2022-10-03,2022-10-02,2230,Wilshire,INTIMATE PARTNER - SIMPLE ASSAULT,31,F,A,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 N  ROSSMORE                     AV
230908808,2023-04-30,2023-04-30,1340,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,14200    AETNA                        ST
222018889,2022-09-27,2022-09-10,0744,Olympic,THEFT OF IDENTITY,30,M,K,,Invest Cont,500 N  OXFORD                       AV
221100955,2022-11-03,2022-11-03,1450,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,M,H,,Invest Cont,RICH                         ST
220712307,2022-07-31,2022-07-31,0240,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1900    10TH                         AV
220114442,2022-06-18,2022-06-11,2100,Central,PICKPOCKET,26,F,H,,Invest Cont,1200 N  SPRING                       ST
222012772,2022-07-29,2022-07-18,1100,Olympic,BURGLARY FROM VEHICLE,67,M,O,,Invest Cont,1100 S  ST ANDREWS                   PL
220416629,2022-12-25,2022-12-25,0040,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,SOTO
220414956,2022-11-03,2022-10-25,1745,Hollenbeck,THEFT PLAIN - PETTY ($950 & UNDER),19,F,O,,Invest Cont,5500    PASEO RANCHO CASTILLA
221820886,2022-11-20,2022-11-20,0030,Southeast,SHOTS FIRED AT INHABITED DWELLING,45,F,H,UNKNOWN FIREARM,Invest Cont,700 E  87TH                         ST
231306207,2023-02-12,2023-02-11,1930,Newton,ROBBERY,46,F,H,FOLDING KNIFE,Invest Cont,SLAUSON                      AV
221716520,2022-10-16,2022-10-15,1245,Devonshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),42,F,H,,Invest Cont,8800    OAK PARK                     AV
221915016,2022-09-27,2022-09-27,1045,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,15100    BLACKHAWK                    ST
230312552,2023-06-22,2023-05-26,1500,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,M,H,,Invest Cont,1200    BROWNING                     BL
220714756,2022-10-01,2022-10-01,0805,Wilshire,BRANDISH WEAPON,24,M,H,UNKNOWN FIREARM,Invest Cont,5100 W  PICO                         BL
220514897,2022-10-16,2022-10-16,0130,Harbor,BATTERY - SIMPLE ASSAULT,34,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 W  12TH                         ST
231910741,2023-06-21,2023-02-20,1628,Mission,VIOLATION OF COURT ORDER,32,M,H,,Adult Other,11100 N  SEPULVEDA                    BL
230406232,2023-03-09,2023-03-08,0156,Hollenbeck,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),39,F,H,,Invest Cont,3900    COLLIS                       AV
230609778,2023-05-13,2023-05-13,1650,Hollywood,BURGLARY FROM VEHICLE,40,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,WILCOX
221822959,2022-12-31,2022-12-31,1500,Southeast,THEFT OF IDENTITY,29,F,H,,Invest Cont,11200    SUCCESS                      AV
221218941,2022-09-02,2022-09-02,2200,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,F,B,MACE/PEPPER SPRAY,Invest Cont,1400 W  61ST                         ST
220516913,2022-12-11,2022-12-10,1953,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,53,M,H,VERBAL THREAT,Adult Other,100 N  PACIFIC                      AV
231509450,2023-05-05,2023-04-28,1900,N Hollywood,BURGLARY FROM VEHICLE,48,F,W,,Invest Cont,12200    IREDELL                      ST
220221038,2022-12-02,2022-12-01,0649,Rampart,THEFT OF IDENTITY,22,M,H,,Invest Cont,400    HARTFORD                     AV
232012334,2023-07-02,2023-07-02,0200,Olympic,BATTERY - SIMPLE ASSAULT,15,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,2800    SUNSET                       PL
221112706,2022-08-14,2022-07-26,2210,Northeast,BATTERY - SIMPLE ASSAULT,52,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000    VIN SCULLY                   AV
220911112,2022-07-05,2022-06-28,1900,Van Nuys,BURGLARY FROM VEHICLE,29,M,O,,Invest Cont,5600    HAZELTINE                    AV
232009212,2023-05-04,2023-05-02,1400,Olympic,BURGLARY,48,M,H,,Invest Cont,1200 S  HOOVER                       ST
230309847,2023-04-24,2023-04-24,1830,Southwest,ROBBERY,29,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,WESTERN
220615500,2022-09-01,2022-09-01,0200,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),34,M,H,,Invest Cont,6600    FOUNTAIN                     AV
220415424,2022-11-15,2022-11-02,0720,Hollenbeck,THEFT OF IDENTITY,39,F,H,,Invest Cont,900    CAMULOS                      ST
221421460,2022-12-23,2022-12-23,1850,Pacific,BURGLARY,48,F,W,,Invest Cont,3400    KELTON                       AV
220220077,2022-11-12,2022-11-12,0300,Rampart,SHOTS FIRED AT INHABITED DWELLING,41,F,H,UNKNOWN FIREARM,Invest Cont,1800    SANTA YNEZ                   ST
230108021,2023-03-03,2023-03-03,1300,Central,INTIMATE PARTNER - SIMPLE ASSAULT,55,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 S  FIGUEROA                     ST
221715463,2022-11-01,2022-10-31,2100,Devonshire,BURGLARY FROM VEHICLE,35,F,O,,Invest Cont,9300    RHEA                         AV
221418379,2022-10-29,2022-10-29,2021,Pacific,THEFT OF IDENTITY,27,M,O,,Invest Cont,3700    MILITARY                     AV
230504534,2023-01-13,2023-01-13,0700,Harbor,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,H,VEHICLE,Adult Other,400    KING                         AV
221415122,2022-08-12,2022-08-11,0715,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,M,W,,Invest Cont,9800    AIRPORT                      BL
221418265,2022-10-25,2022-08-30,1550,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58,M,W,,Invest Cont,00    PARK                         AV
221116511,2022-11-19,2022-09-07,0001,Northeast,THEFT OF IDENTITY,65,F,W,,Invest Cont,5100    CASPAR                       AV
221820321,2022-11-07,2022-11-07,0825,Southeast,ROBBERY,67,M,B,CLUB/BAT,Adult Arrest,AVALON
221115478,2022-10-24,2022-10-13,0800,Northeast,THEFT OF IDENTITY,35,F,K,,Invest Cont,4300    PRICE                        ST
230108650,2023-03-14,2023-03-12,0001,Central,THEFT PLAIN - PETTY ($950 & UNDER),39,F,J,,Invest Cont,800 N  ALAMEDA                      ST
221111330,2022-07-09,2022-07-08,2024,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1700    HILLHURST                    AV
221514025,2022-08-25,2022-08-11,0800,N Hollywood,VIOLATION OF RESTRAINING ORDER,45,F,H,,Adult Other,6900    FULTON                       AV
231306933,2023-02-26,2023-02-26,2040,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,M,B,FOLDING KNIFE,Invest Cont,100 E  46TH                         ST
221014274,2022-09-21,2022-09-21,1224,West Valley,BURGLARY FROM VEHICLE,62,M,O,,Invest Cont,15700    VICTORY                      BL
220619777,2022-12-05,2022-11-11,0600,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),32,M,A,,Invest Cont,5100    HOLLYWOOD                    BL
222018569,2022-11-19,2022-07-28,0440,Olympic,THEFT OF IDENTITY,27,F,H,,Invest Cont,600 S  VIRGIL                       AV
221918034,2022-12-15,2022-12-15,1700,Mission,CRIMINAL THREATS - NO WEAPON DISPLAYED,20,F,H,VERBAL THREAT,Adult Other,8400    VAN NUYS                     BL
222116293,2022-11-04,2022-11-04,2100,Topanga,BURGLARY FROM VEHICLE,27,M,O,,Invest Cont,6400    CANOGA                       AV
220513340,2022-09-05,2022-09-01,1015,Harbor,THEFT OF IDENTITY,38,F,B,,Invest Cont,1000 E  ANAHEIM                      ST
231006575,2023-03-08,2023-03-08,0145,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58,F,H,,Invest Cont,17400    VANOWEN                      ST
221416715,2022-09-14,2022-09-14,2015,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,W,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,600    WORLD                        WY
222010706,2022-06-03,2022-06-03,1750,Olympic,BRANDISH WEAPON,33,F,B,OTHER KNIFE,Adult Other,300 S  HOOVER                       ST
221513585,2022-08-09,2022-08-08,1202,N Hollywood,THEFT OF IDENTITY,31,M,H,,Invest Cont,7400    LANKERSHIM                   BL
230408733,2023-05-24,2023-05-24,0700,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,75,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4000 N  MISSION                      RD
220320724,2022-11-24,2022-11-24,1445,Southwest,BATTERY - SIMPLE ASSAULT,24,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,SANTA ROSALIA                DR
232008659,2023-04-24,2023-04-16,1700,Olympic,BURGLARY,77,F,A,,Invest Cont,1200 S  NORMANDIE                    AV
230905332,2023-02-05,2023-02-05,2110,Van Nuys,VIOLATION OF RESTRAINING ORDER,47,F,A,,Invest Cont,15500    SATICOY                      ST
231904032,2023-01-01,2022-12-15,1905,Mission,THEFT OF IDENTITY,39,F,H,,Invest Cont,8700    WOODMAN                      AV
